latitude,longitude,timestamp,track,velocity,index
55.0392468,13.9254516,2025-11-15 14:39:08.000000 +0000 UTC,0.0,0.0,0
55.0331601,13.8934266,2025-11-15 14:43:07.000000 +0000 UTC,249.3,17.7,1
55.0192993,13.8285866,2025-11-15 14:46:19.000000 +0000 UTC,249.4,35.4,2
55.0050782,13.7646944,2025-11-15 14:50:23.000000 +0000 UTC,249.4,35.42,3
54.9908728,13.7003225,2025-11-15 14:54:29.000000 +0000 UTC,249.4,35.43,4
54.9767769,13.6251406,2025-11-15 14:58:10.000000 +0000 UTC,252.3,41.09,5
54.9638172,13.5490563,2025-11-15 15:02:25.000000 +0000 UTC,252.3,41.1,6
54.9496306,13.473428,2025-11-15 15:06:41.000000 +0000 UTC,252.3,41.12,7
54.9347966,13.3929378,2025-11-15 15:10:30.000000 +0000 UTC,252.4,43.97,8
54.9190154,13.3058744,2025-11-15 15:15:08.000000 +0000 UTC,252.4,46.83,9
54.9033249,13.2203155,2025-11-15 15:18:19.000000 +0000 UTC,252.4,46.85,10
54.8878929,13.1333703,2025-11-15 15:22:33.000000 +0000 UTC,252.5,46.87,11
54.8673464,13.0559075,2025-11-15 15:26:46.000000 +0000 UTC,246.0,44.17,12
54.8479802,12.9777967,2025-11-15 15:30:47.000000 +0000 UTC,246.0,44.19,13
54.8279302,12.8998022,2025-11-15 15:34:33.000000 +0000 UTC,246.0,44.21,14
54.8029013,12.8250016,2025-11-15 15:38:23.000000 +0000 UTC,240.2,45.0,15
54.7734629,12.7528331,2025-11-15 15:42:41.000000 +0000 UTC,234.6,46.24,16
54.7433557,12.6795583,2025-11-15 15:46:45.000000 +0000 UTC,234.7,46.26,17
54.7136109,12.6076697,2025-11-15 15:50:14.000000 +0000 UTC,234.7,46.29,18
54.6986257,12.575275,2025-11-15 15:54:27.000000 +0000 UTC,231.3,21.03,19
54.6847023,12.5444033,2025-11-15 15:58:33.000000 +0000 UTC,231.4,21.04,20
54.6701648,12.5127303,2025-11-15 16:02:52.000000 +0000 UTC,231.4,21.04,21
54.6527037,12.4821656,2025-11-15 16:06:29.000000 +0000 UTC,226.0,22.09,22
54.6331928,12.4526153,2025-11-15 16:11:03.000000 +0000 UTC,221.2,23.32,23
54.6140488,12.4234392,2025-11-15 16:14:13.000000 +0000 UTC,221.2,23.32,24
54.594375,12.3940342,2025-11-15 16:18:32.000000 +0000 UTC,221.2,23.33,25
54.5629742,12.3637497,2025-11-15 16:22:27.000000 +0000 UTC,209.1,32.72,26
54.530784,12.3331971,2025-11-15 16:26:43.000000 +0000 UTC,209.2,32.72,27
54.4993933,12.3024405,2025-11-15 16:30:13.000000 +0000 UTC,209.2,32.73,28
54.4745599,12.2786409,2025-11-15 16:35:03.000000 +0000 UTC,208.5,25.36,29
54.4562249,12.2631105,2025-11-15 16:38:50.000000 +0000 UTC,207.3,17.98,30
54.439237,12.247234,2025-11-15 16:42:32.000000 +0000 UTC,207.4,17.98,31
